Second;UHOLEG2;UCOLEG2;ZINST80;ZINST71;ZINST77;ZINST74;WFWLN2;WSTM2;ZINST58;KBCDO23;KBCDO15;ZINST63;LOG_ACIDENTE
0;325,511;290,882;100,326;89,189;50,01;64,356;455,299;452,753;156,939;99;17;55,788;PARAMLOG_B-15
1;325,509;290,879;100,304;89,189;50,011;64,358;455,192;452,724;154,604;99;15;55,723;PARAMLOG_B-15
2;325,513;290,873;100,303;89,189;50,011;64,361;455,089;452,713;153,08;99;14;55,619;PARAMLOG_B-15
3;325,519;290,865;100,304;89,188;50,01;64,363;455,021;452,732;152,089;99;14;55,476;PARAMLOG_B-15
4;325,525;290,856;100,304;89,188;50,009;64,366;454,964;452,754;151,341;99;13;55,317;PARAMLOG_B-15
5;325,53;290,848;100,302;89,187;50,009;64,368;454,898;452,791;150,702;99;13;55,15;PARAMLOG_B-15
6;325,532;290,843;100,299;89,187;50,008;64,371;454,83;452,822;150,115;99;13;54,981;PARAMLOG_B-15
7;325,533;290,839;100,295;89,186;50,006;64,375;454,769;452,727;149,551;100;13;54,811;PARAMLOG_B-15
8;325,534;290,836;100,291;89,184;50,002;64,38;454,722;452,362;149,001;100;12;54,642;PARAMLOG_B-15
9;325,532;290,835;100,286;89,18;49,993;64,388;454,685;451,801;148,457;100;12;54,474;PARAMLOG_B-15
10;325,53;290,834;100,281;89,174;49,979;64,399;454,651;451,093;147,919;100;12;54,307;PARAMLOG_B-15
11;325,528;290,835;100,278;89,166;49,96;64,414;454,587;450,31;147,392;99;11;54,143;PARAMLOG_B-15
12;325,525;290,837;100,265;89,157;49,938;64,433;454,485;449,449;146,881;99;11;53,999;PARAMLOG_B-15
13;325,457;290,851;100,268;87,57;46,566;66,27;0;50,907;146,362;94;11;53,844;PARAMLOG_B-15
14;325,062;290,994;100,233;85,268;41,617;68,334;0;111,563;146,042;76;12;53,828;PARAMLOG_B-15
15;324,13;291,41;100,137;83,782;38,572;69,808;0;164,106;144,979;50;14;53,573;PARAMLOG_B-15
16;322,515;292,076;100,037;82,939;36,942;70,88;0;218,986;142,847;33;18;52,607;PARAMLOG_B-15
17;320,098;292,858;99,924;82,547;36,281;71,59;0;247,009;140,277;22;21;50,978;PARAMLOG_B-15
18;317,134;293,596;99,817;82,314;35,967;72,052;0;270,803;137,779;16;24;48,919;PARAMLOG_B-15
19;313,997;294,161;99,744;82,143;35,795;72,24;0;288,937;135,593;12;26;46,692;PARAMLOG_B-15
20;311,023;294,473;99,741;81,908;35,492;72,062;0;302,353;133,738;9;28;44,478;PARAMLOG_B-15
21;308,44;294,498;99,796;81,63;35,105;71,565;0;311,878;132,12;7;29;42,363;PARAMLOG_B-15
22;306,339;294,243;99,936;81,338;34,695;70,856;0;317,916;130,64;6;29;40,364;PARAMLOG_B-15
23;304,704;293,742;100,125;81,043;34,285;70,018;0;321,062;129,224;5;29;38,467;PARAMLOG_B-15
24;303,452;293,052;100,357;80,751;33,888;69,123;0;322,325;127,817;5;29;36,645;PARAMLOG_B-15
25;302,47;292,235;100,614;80,466;33,511;68,221;0;324,464;126,392;4;28;34,869;PARAMLOG_B-15
26;301,644;291,353;100,861;80,121;33,03;67,437;0;325,107;124,935;4;28;33,117;PARAMLOG_B-15
27;300,869;290,45;101,106;79,69;32,386;66,76;0;325,139;123,465;3;28;31,384;PARAMLOG_B-15
28;300,064;289,489;101,313;79,212;31,656;66,143;0;324,648;122,018;3;28;29,683;PARAMLOG_B-15
29;299,205;288,547;101,501;78,712;30,888;65,564;0;323,682;120,605;3;28;28,03;PARAMLOG_B-15
30;298,286;287,673;101,653;78,201;30,098;65,012;0;322,242;119,231;3;28;26,43;PARAMLOG_B-15
31;297,321;286,886;101,804;77,68;29,291;64,475;0;321,009;117,887;2;28;24,883;PARAMLOG_B-15
32;296,323;286,167;101,938;76,732;28,767;63,993;0;319,509;116,569;2;29;23,386;PARAMLOG_B-15
33;295,302;285,494;102,08;75,371;28,498;63,534;0;317,225;115,288;2;29;21,944;PARAMLOG_B-15
34;294,281;284,852;102,209;73,76;28,395;63,073;0;314,637;114,044;2;29;20,559;PARAMLOG_B-15
35;293,283;284,229;102,342;71,997;28,412;62,602;0;311,83;112,832;2;29;19,229;PARAMLOG_B-15
36;292,324;283,615;102,483;70,145;28,523;62,12;0;308,875;111,646;1;29;17,949;PARAMLOG_B-15
37;291,411;283,005;102,614;68,246;28,712;61,626;0;305,853;110,484;1;29;16,716;PARAMLOG_B-15
38;290,547;282,393;102,752;66,332;28,969;61,125;0;302,782;109,338;1;29;15,524;PARAMLOG_B-15
39;289,729;281,779;102,893;64,424;29,284;60,618;0;299,726;108,207;1;29;14,368;PARAMLOG_B-15
40;288,951;281,164;103,04;62,54;29,651;60,108;0;296,703;107,086;1;29;13,243;PARAMLOG_B-15
41;288,206;280,547;103,174;60,694;30,063;59,597;0;293,742;105,974;1;29;12,145;PARAMLOG_B-15
42;287,487;279,932;103,314;58,896;30,511;59,087;0;290,825;104,869;1;28;11,071;PARAMLOG_B-15
43;286,788;279,32;103,451;57,151;30,991;58,58;0;287,977;103,772;1;28;10,018;PARAMLOG_B-15
44;286,106;278,712;103,587;55,466;31,493;58,075;0;285,186;102,681;1;28;8,983;PARAMLOG_B-15
45;285,435;278,109;103,721;53,84;32,014;57,574;0;282,441;101,597;1;28;7,966;PARAMLOG_B-15
46;284,771;277,51;103,853;52,278;32,548;57,077;0;279,783;100,52;1;28;6,965;PARAMLOG_B-15
47;284,115;276,917;103,984;50,776;33,089;56,584;0;277,167;99,448;1;28;5,98;PARAMLOG_B-15
48;283,464;276,327;104,112;49,335;33,634;56,095;0;274,529;98,383;0;28;5,008;PARAMLOG_B-15
49;282,817;275,743;104,239;47,953;34,179;55,611;0;271,939;97,325;0;27;4,05;PARAMLOG_B-15
50;282,176;275,162;104,365;46,626;34,72;55,131;0;269,377;96,274;0;27;3,105;PARAMLOG_B-15
51;281,541;274,584;104,49;45,358;35,256;54,654;0;266,844;95,229;0;27;2,173;PARAMLOG_B-15
52;280,909;274,009;104,614;44,201;35,729;54,182;0;264,354;94,191;0;27;1,254;PARAMLOG_B-15
53;280,283;273,438;104,736;43,18;36,111;53,714;0;261,887;93,161;0;27;0,347;PARAMLOG_B-15
54;279,661;272,869;104,863;42,323;36,396;53,249;12;259,22;92,138;0;27;0;PARAMLOG_B-15
55;279,045;272,303;104,978;41,659;36,554;52,778;12;256,383;91,122;0;26;0;PARAMLOG_B-15
56;278,435;271,738;105,098;41,159;36,588;52,307;12;253,671;90,109;0;26;0;PARAMLOG_B-15
57;277,832;271,173;105,218;40,797;36,506;51,839;12;251,069;89,1;0;26;0;PARAMLOG_B-15
58;277,233;270,607;105,338;40,555;36,312;51,376;12;248,555;88,096;0;26;0;PARAMLOG_B-15
59;276,637;270,041;105,457;40,413;36,016;50,918;12;246,113;87,096;0;25;0;PARAMLOG_B-15
60;276,044;269,477;105,581;40,355;35,624;50,466;12;243,733;86,102;0;25;0;PARAMLOG_B-15
61;275,453;268,913;105,693;40,364;35,146;50,018;12;241,41;85,112;0;25;0;PARAMLOG_B-15
62;274,865;268,352;105,81;40,423;34,589;49,576;12;239,114;84,129;0;25;0;PARAMLOG_B-15
63;274,278;267,793;105,926;40,515;33,963;49,14;12;236,856;83,15;0;25;0;PARAMLOG_B-15
64;273,692;267,236;106,04;40,626;33,277;48,708;12;234,625;82,177;0;24;0;PARAMLOG_B-15
65;273,107;266,682;106,154;40,74;32,539;48,281;12;232,418;81,21;0;24;0;PARAMLOG_B-15
66;272,525;266,13;106,273;40,846;31,76;47,859;12;230,241;80,248;0;24;0;PARAMLOG_B-15
67;271,944;265,579;106,38;40,933;30,947;47,442;12;228,087;79,292;0;23;0;PARAMLOG_B-15
68;271,364;265,03;106,492;40,991;30,11;47,03;12;225,969;78,342;0;23;0;PARAMLOG_B-15
69;270,787;264,483;106,603;41,016;29,256;46,622;12;223,866;77,397;0;23;0;PARAMLOG_B-15
70;270,212;263,937;106,713;41,001;28,395;46,219;12;221,792;76,458;0;23;0;PARAMLOG_B-15
71;269,639;263,393;106,822;40,944;27,532;45,821;12;219,744;75,526;0;22;0;PARAMLOG_B-15
72;269,067;262,851;106,937;40,846;26,675;45,427;12;217,723;74,6;0;22;0;PARAMLOG_B-15
73;268,495;262,31;107,04;40,704;25,828;45,038;12;215,72;73,684;0;22;0;PARAMLOG_B-15
74;267,824;261,772;107,137;40,522;24,997;44,654;12;213,719;72,878;0;22;0;PARAMLOG_B-15
75;266,944;261,234;107,206;40,299;24,18;44,274;12;211,209;72,425;0;22;0;PARAMLOG_B-15
76;266,18;260,693;107,27;40,024;23,359;43,893;12;207,626;72,171;0;22;0;PARAMLOG_B-15
77;265,568;260,142;107,356;39,695;22,526;43,513;12;203,824;71,871;0;22;0;PARAMLOG_B-15
78;265,01;259,581;107,465;39,329;21,703;43,139;12;200,551;71,519;0;22;0;PARAMLOG_B-15
79;264,472;259,016;107,576;38,942;20,911;42,772;12;197,843;71,141;0;23;0;PARAMLOG_B-15
80;263,943;258,455;107,683;38,545;20,162;42,412;12;195,562;70,752;0;23;0;PARAMLOG_B-15
81;263,42;257,903;107,785;38,146;19,458;42,059;12;193,559;70,352;0;23;0;PARAMLOG_B-15
82;262,899;257,363;107,883;37,748;18,799;41,711;12;191,736;69,941;0;23;0;PARAMLOG_B-15
83;262,38;256,835;107,978;37,353;18,182;41,368;12;190,025;69,522;0;23;0;PARAMLOG_B-15
84;261,862;256,317;108,073;36,962;17,601;41,029;12;187,194;69,117;0;23;0;PARAMLOG_B-15
85;261,343;255,808;108,17;36,574;17,02;40,716;12;182,815;68,717;0;23;0;PARAMLOG_B-15
86;260,823;255,307;108,269;36,183;16,396;40,438;12;171,703;68,319;0;24;0;PARAMLOG_B-15
87;260,302;254,819;108,366;35,766;15,491;40,338;12;117,187;67,925;0;24;0;PARAMLOG_B-15
88;259,779;254,369;108,456;35,097;13,088;41,097;12;0;67,545;0;24;0;PARAMLOG_B-15
89;259,252;254,029;108,515;33,793;9,604;41,868;12;0;67,213;0;24;0;PARAMLOG_B-15
90;258,729;253,86;108,518;32,217;6,051;42,254;12;0;66,915;0;24;0;PARAMLOG_B-15
91;258,217;253,847;108,492;30,792;3,088;42,541;12;0;66,623;0;24;0;PARAMLOG_B-15
92;257,73;253,937;108,455;29,547;0,694;42,766;12;0;66,334;0;25;0;PARAMLOG_B-15
93;257,29;254,077;108,414;28,466;0;42,945;12;0;66,052;0;25;0;PARAMLOG_B-15
94;256,92;254,227;108,378;27,467;0;43,085;12;0;65,774;0;24;0;PARAMLOG_B-15
95;256,635;254,361;108,35;25,621;0;43,195;12;0;65,499;0;24;0;PARAMLOG_B-15
96;256,439;254,468;108,331;23,791;0;43,28;12;0;65,226;0;24;0;PARAMLOG_B-15
97;256,326;254,543;108,319;22,21;0;43,347;12;0;64,955;0;24;0;PARAMLOG_B-15
98;256,28;254,593;108,312;21,271;0;43,403;12;0;64,684;0;23;0;PARAMLOG_B-15
99;256,283;254,626;108,308;21,023;0;43,452;12;0;64,414;0;23;0;PARAMLOG_B-15
100;256,316;254,651;108,304;21,037;0;43,501;12;0;64,144;0;23;0;PARAMLOG_B-15
101;256,363;254,678;108,297;21,231;0;43,551;12;0;63,874;0;22;0;PARAMLOG_B-15
102;256,414;254,711;108,287;21,493;0;43,601;12;0;63,605;0;22;0;PARAMLOG_B-15
103;256,462;254,751;108,274;21,797;0;43,648;12;0;63,336;0;22;0;PARAMLOG_B-15
104;256,504;254,796;108,26;22,132;0;43,694;12;0;63,067;0;21;0,133;PARAMLOG_B-15
105;256,541;254,843;108,246;22,486;0;43,739;12;0;62,796;0;21;0,997;PARAMLOG_B-15
106;256,575;254,891;108,233;22,853;0;43,781;12;0;62,526;0;21;1,865;PARAMLOG_B-15
107;256,607;254,938;108,219;23,223;0;43,822;12;0;62,255;0;20;2,737;PARAMLOG_B-15
108;256,64;254,983;108,206;23,591;0;43,86;12;0;61,985;0;20;3,614;PARAMLOG_B-15
109;256,675;255,027;108,193;23,952;0;43,894;12;0;61,714;0;20;4,495;PARAMLOG_B-15
110;256,711;255,068;108,181;24,304;0;43,926;12;0;61,444;0;19;5,38;PARAMLOG_B-15
111;256,748;255,107;108,169;24,689;0;43,955;12;0;61,174;0;19;6,27;PARAMLOG_B-15
112;256,786;255,146;108,158;25,109;0;43,982;12;0;60,904;0;19;7,164;PARAMLOG_B-15
113;256,824;255,184;108,146;25,548;0;44,008;12;0;60,634;0;18;8,063;PARAMLOG_B-15
114;256,861;255,222;108,135;25,994;0;44,033;12;0;60,364;0;18;8,966;PARAMLOG_B-15
115;256,897;255,261;108,123;26,435;0;44,056;12;0;60,094;0;18;9,873;PARAMLOG_B-15
116;256,933;255,299;108,111;26,864;0;44,079;12;0;59,824;0;17;10,783;PARAMLOG_B-15
117;256,968;255,335;108,1;27,275;0;44,101;12;0;59,554;0;17;11,697;PARAMLOG_B-15
118;257,002;255,371;108,089;27,665;0;44,122;12;0;59,283;0;17;12,615;PARAMLOG_B-15
119;257,036;255,405;108,079;28,03;0;44,143;12;0;59,013;0;16;13,536;PARAMLOG_B-15
120;257,07;255,437;108,069;28,369;0;44,163;12;0;58,742;0;16;14,46;PARAMLOG_B-15
121;257,103;255,468;108,059;28,683;0;44,184;12;0;58,471;0;16;15,388;PARAMLOG_B-15
122;257,135;255,498;108,049;28,97;0;44,204;12;0;58,2;0;15;16,319;PARAMLOG_B-15
123;257,167;255,528;108,039;29,231;0;44,225;12;0;57,928;0;15;17,254;PARAMLOG_B-15
