Second;UHOLEG2;UCOLEG2;ZINST80;ZINST71;ZINST77;ZINST74;WFWLN2;WSTM2;ZINST58;KBCDO23;KBCDO15;ZINST63;LOG_ACIDENTE
0;325,514;290,882;100,381;89,171;49,986;64,354;456,22;451,596;158,831;99;17;55,827;PARAMLOG_B-17
1;325,515;290,882;100,381;89,099;49,866;64,35;460,224;451,664;158,83;99;17;55,827;PARAMLOG_B-17
2;325,516;290,881;100,381;89,029;49,755;64,349;463,729;451,907;158,828;99;17;55,827;PARAMLOG_B-17
3;325,516;290,88;100,382;88,962;49,648;64,348;466,945;452,036;158,827;99;17;55,827;PARAMLOG_B-17
4;325,517;290,879;100,382;88,898;49,544;64,347;469,963;452,042;158,825;99;17;55,826;PARAMLOG_B-17
5;325,518;290,879;100,382;88,836;49,442;64,346;472,839;451,965;158,824;99;17;55,826;PARAMLOG_B-17
6;325,518;290,878;100,382;88,777;49,344;64,345;475,581;451,818;158,823;99;17;55,826;PARAMLOG_B-17
7;325,519;290,877;100,382;88,72;49,248;64,344;478,193;451,59;158,822;99;17;55,826;PARAMLOG_B-17
8;325,52;290,877;100,382;88,666;49,156;64,343;480,669;451,334;158,821;99;17;55,826;PARAMLOG_B-17
9;325,52;290,876;100,383;88,615;49,068;64,342;483,005;451,016;158,82;99;17;55,826;PARAMLOG_B-17
10;325,521;290,875;100,383;88,567;48,985;64,34;485,195;450,675;158,818;99;17;55,825;PARAMLOG_B-17
11;325,522;290,873;100,383;88,522;48,906;64,337;487,232;450,301;158,817;100;17;55,825;PARAMLOG_B-17
12;325,522;290,871;100,384;88,48;48,832;64,335;489,11;449,922;158,815;99;17;55,825;PARAMLOG_B-17
13;325,522;290,869;100,384;88,442;48,764;64,332;490,829;449,508;158,81;99;17;55,823;PARAMLOG_B-17
14;325,521;290,867;100,385;88,407;48,7;64,329;492,388;449,091;158,802;99;17;55,821;PARAMLOG_B-17
15;325,519;290,864;100,386;88,375;48,642;64,326;493,796;448,688;158,793;99;17;55,817;PARAMLOG_B-17
16;325,517;290,86;100,387;88,347;48,589;64,323;495,056;448,286;158,782;99;17;55,813;PARAMLOG_B-17
17;325,515;290,857;100,388;88,321;48,54;64,319;496,172;447,878;158,772;99;17;55,81;PARAMLOG_B-17
18;325,513;290,853;100,389;88,298;48,497;64,315;497,148;447,486;158,762;99;17;55,806;PARAMLOG_B-17
19;325,512;290,849;100,39;88,278;48,458;64,311;497,991;447,107;158,752;99;17;55,802;PARAMLOG_B-17
20;325,512;290,844;100,391;88,26;48,424;64,307;498,702;446,751;158,742;99;17;55,798;PARAMLOG_B-17
21;325,512;290,84;100,392;88,245;48,393;64,303;499,286;446,404;158,732;99;17;55,794;PARAMLOG_B-17
22;325,511;290,835;100,393;88,232;48,367;64,3;499,761;446,083;158,722;100;17;55,79;PARAMLOG_B-17
23;325,511;290,83;100,394;88,221;48,344;64,296;500,126;445,794;158,711;100;17;55,786;PARAMLOG_B-17
24;325,511;290,826;100,395;88,211;48,325;64,292;500,402;445,516;158,701;100;17;55,782;PARAMLOG_B-17
25;325,51;290,821;100,396;88,204;48,309;64,288;500,594;445,255;158,691;100;17;55,779;PARAMLOG_B-17
26;325,51;290,817;100,397;88,198;48,295;64,285;500,712;445,042;158,681;100;17;55,775;PARAMLOG_B-17
27;325,51;290,813;100,398;88,193;48,284;64,281;500,764;444,832;158,671;100;17;55,771;PARAMLOG_B-17
28;325,51;290,809;100,399;88,189;48,276;64,278;500,766;444,653;158,662;100;17;55,768;PARAMLOG_B-17
29;325,509;290,806;100,4;88,187;48,269;64,275;500,721;444,503;158,653;100;17;55,764;PARAMLOG_B-17
30;325,509;290,802;100,401;88,185;48,264;64,272;500,639;444,367;158,644;100;17;55,761;PARAMLOG_B-17
31;325,509;290,799;100,401;88,184;48,26;64,269;500,527;444,25;158,635;100;17;55,758;PARAMLOG_B-17
32;325,509;290,795;100,402;88,183;48,258;64,266;500,393;444,151;158,627;100;17;55,754;PARAMLOG_B-17
33;325,509;290,792;100,403;88,183;48,257;64,264;500,245;444,08;158,62;100;17;55,752;PARAMLOG_B-17
34;325,509;290,79;100,403;88,184;48,256;64,261;500,091;444,013;158,612;100;17;55,749;PARAMLOG_B-17
35;325,509;290,787;100,404;88,184;48,257;64,259;499,927;443,971;158,605;100;17;55,746;PARAMLOG_B-17
36;325,51;290,784;100,404;88,185;48,258;64,256;499,769;443,947;158,598;100;17;55,744;PARAMLOG_B-17
37;325,51;290,782;100,405;88,186;48,26;64,254;499,616;443,937;158,591;100;17;55,741;PARAMLOG_B-17
38;325,508;290,78;100,405;88,188;48,262;64,252;499,471;443,924;158,582;100;17;55,738;PARAMLOG_B-17
39;325,506;290,777;100,406;88,189;48,264;64,249;499,344;443,923;158,57;100;17;55,733;PARAMLOG_B-17
40;325,503;290,775;100,407;88,191;48,266;64,247;499,235;443,935;158,559;100;17;55,729;PARAMLOG_B-17
41;325,5;290,773;100,407;88,192;48,269;64,244;499,15;443,962;158,547;100;17;55,724;PARAMLOG_B-17
42;325,499;290,771;100,408;88,193;48,272;64,241;499,092;443,98;158,537;100;17;55,72;PARAMLOG_B-17
43;325,497;290,768;100,408;88,195;48,274;64,239;499,058;443,999;158,527;100;17;55,717;PARAMLOG_B-17
44;325,496;290,766;100,409;88,196;48,277;64,236;499,044;444,043;158,518;100;17;55,713;PARAMLOG_B-17
45;325,496;290,763;100,409;88,198;48,28;64,233;499,04;444,062;158,509;100;17;55,71;PARAMLOG_B-17
46;325,496;290,761;100,41;88,199;48,283;64,23;499,056;444,1;158,5;100;17;55,706;PARAMLOG_B-17
47;325,495;290,758;100,41;88,201;48,286;64,227;499,082;444,126;158,491;100;17;55,703;PARAMLOG_B-17
48;325,496;290,755;100,411;88,202;48,289;64,224;499,131;444,152;158,483;100;17;55,7;PARAMLOG_B-17
49;325,496;290,753;100,411;88,204;48,292;64,221;499,191;444,179;158,475;100;17;55,697;PARAMLOG_B-17
50;325,496;290,751;100,412;88,205;48,296;64,218;499,267;444,213;158,466;100;17;55,694;PARAMLOG_B-17
51;325,495;290,748;100,412;88,207;48,299;64,215;499,359;444,244;158,458;100;17;55,691;PARAMLOG_B-17
52;325,495;290,746;100,413;88,209;48,302;64,213;499,464;444,271;158,451;100;17;55,688;PARAMLOG_B-17
53;325,495;290,744;100,413;88,21;48,306;64,21;499,585;444,285;158,443;100;17;55,685;PARAMLOG_B-17
54;325,494;290,741;100,414;88,212;48,309;64,207;499,716;444,311;158,433;100;17;55,681;PARAMLOG_B-17
55;325,492;290,739;100,414;88,214;48,313;64,204;499,86;444,32;158,421;100;17;55,677;PARAMLOG_B-17
56;325,49;290,737;100,415;88,216;48,316;64,201;500,017;444,344;158,408;100;17;55,672;PARAMLOG_B-17
57;325,487;290,734;100,415;88,219;48,32;64,198;500,188;444,362;158,396;100;17;55,667;PARAMLOG_B-17
58;325,485;290,732;100,416;88,221;48,325;64,195;500,376;444,364;158,384;100;17;55,662;PARAMLOG_B-17
59;325,484;290,729;100,417;88,224;48,329;64,192;500,57;444,362;158,373;100;17;55,658;PARAMLOG_B-17
60;325,483;290,726;100,417;88,226;48,334;64,188;500,768;444,373;158,362;100;17;55,654;PARAMLOG_B-17
61;325,482;290,723;100,418;88,23;48,339;64,185;500,966;444,369;158,352;100;17;55,65;PARAMLOG_B-17
62;325,482;290,72;100,419;88,233;48,345;64,182;501,158;444,359;158,342;100;17;55,646;PARAMLOG_B-17
63;325,481;290,717;100,419;88,237;48,351;64,178;501,347;444,344;158,332;100;17;55,642;PARAMLOG_B-17
64;325,481;290,714;100,42;88,241;48,357;64,175;501,529;444,328;158,322;100;17;55,638;PARAMLOG_B-17
65;325,481;290,711;100,421;88,245;48,364;64,172;501,707;444,31;158,313;100;17;55,635;PARAMLOG_B-17
66;325,481;290,708;100,421;88,249;48,372;64,169;501,877;444,304;158,303;100;17;55,631;PARAMLOG_B-17
67;325,481;290,705;100,422;88,254;48,379;64,166;502,044;444,273;158,294;100;17;55,628;PARAMLOG_B-17
68;325,481;290,703;100,422;88,259;48,387;64,163;502,203;444,266;158,286;100;17;55,624;PARAMLOG_B-17
69;325,481;290,7;100,423;88,264;48,396;64,16;502,357;444,243;158,277;100;17;55,621;PARAMLOG_B-17
70;325,48;290,697;100,423;88,27;48,405;64,157;502,508;444,212;158,269;100;17;55,618;PARAMLOG_B-17
71;325,479;290,695;100,424;88,276;48,414;64,154;502,647;444,193;158,258;100;17;55,614;PARAMLOG_B-17
72;325,477;290,692;100,425;88,282;48,424;64,151;502,783;444,167;158,245;100;17;55,609;PARAMLOG_B-17
73;325,474;290,69;100,425;88,288;48,434;64,149;502,921;444,152;158,233;100;17;55,604;PARAMLOG_B-17
74;325,472;290,687;100,426;88,295;48,445;64,146;503,052;444,129;158,221;100;17;55,599;PARAMLOG_B-17
75;325,47;290,684;100,426;88,301;48,456;64,143;503,182;444,107;158,209;100;17;55,595;PARAMLOG_B-17
76;325,468;290,682;100,427;88,308;48,467;64,14;503,307;444,074;158,199;100;17;55,591;PARAMLOG_B-17
77;325,468;290,679;100,428;88,316;48,479;64,137;503,424;444,039;158,189;100;17;55,587;PARAMLOG_B-17
78;325,467;290,676;100,428;88,323;48,491;64,134;503,532;444,023;158,179;100;17;55,583;PARAMLOG_B-17
79;325,467;290,673;100,429;88,331;48,504;64,131;503,626;443,985;158,17;100;17;55,58;PARAMLOG_B-17
80;325,466;290,67;100,429;88,339;48,517;64,128;503,706;443,959;158,161;100;17;55,576;PARAMLOG_B-17
81;325,466;290,667;100,43;88,347;48,53;64,125;503,777;443,945;158,153;100;17;55,573;PARAMLOG_B-17
82;325,466;290,665;100,43;88,356;48,544;64,123;503,835;443,909;158,145;100;17;55,57;PARAMLOG_B-17
83;325,466;290,662;100,431;88,365;48,558;64,12;503,884;443,887;158,137;100;17;55,567;PARAMLOG_B-17
84;325,466;290,66;100,432;88,373;48,572;64,118;503,927;443,86;158,13;100;17;55,564;PARAMLOG_B-17
85;325,466;290,657;100,432;88,382;48,587;64,116;503,962;443,844;158,123;100;17;55,562;PARAMLOG_B-17
86;325,465;290,655;100,432;88,391;48,601;64,114;503,987;443,818;158,114;100;17;55,558;PARAMLOG_B-17
87;325,462;290,653;100,433;88,4;48,616;64,112;504,009;443,809;158,103;100;17;55,554;PARAMLOG_B-17
88;325,46;290,651;100,433;88,41;48,631;64,11;504,031;443,768;158,092;100;17;55,55;PARAMLOG_B-17
89;325,457;290,649;100,434;88,419;48,646;64,108;504,055;443,765;158,082;100;17;55,546;PARAMLOG_B-17
