Second;UHOLEG2;UCOLEG2;ZINST80;ZINST71;ZINST77;ZINST74;WFWLN2;WSTM2;ZINST58;KBCDO23;KBCDO15;ZINST63;LOG_ACIDENTE
0;325,517;290,882;100,389;89,189;50,01;64,356;455,3;452,919;158,831;99;17;55,827;PARAMLOG_B-14
1;325,552;290,882;100,493;89,193;50,021;64,349;455,252;455,469;158,849;99;17;55,832;PARAMLOG_B-14
2;325,672;290,882;100,698;89,214;50,073;64,318;0;459,088;158,942;98;17;55,865;PARAMLOG_B-14
3;325,807;290,906;100,963;87,167;45,7;66,579;0;81,376;159,208;91;17;55,945;PARAMLOG_B-14
4;325,662;291,101;101,185;85,153;41,416;68,4;0;148,503;159,811;70;18;56,234;PARAMLOG_B-14
5;325,036;291,587;101,344;83,975;39,047;69,692;0;207,147;159,114;46;21;56,132;PARAMLOG_B-14
6;323,676;292,314;101,438;83,421;38,045;70,582;0;265,829;156,439;30;24;55,35;PARAMLOG_B-14
7;321,526;293,128;101,507;83,232;37,839;71,175;0;296,066;152,817;20;27;53,977;PARAMLOG_B-14
8;318,839;293,87;101,586;83,134;37,849;71,55;0;321,45;149,952;15;29;52,146;PARAMLOG_B-14
9;315,891;294,422;101,693;82,989;37,771;71,644;0;332,536;147,773;11;32;50,115;PARAMLOG_B-14
10;312,993;294,716;101,834;82,727;37,45;71,447;0;342,514;146,092;9;33;48,062;PARAMLOG_B-14
11;310,37;294,727;102,042;82,404;37,004;70,962;0;350,633;144,737;7;35;46,078;PARAMLOG_B-14
12;308,147;294,46;102,299;82,042;36,481;70,277;0;354,468;143,578;6;35;44,196;PARAMLOG_B-14
13;306,355;293,947;102,617;81,656;35,911;69,463;0;356,194;142,512;5;36;42,407;PARAMLOG_B-14
14;304,94;293,24;102,958;81,262;35,331;68,576;0;356,997;141,498;5;36;40,699;PARAMLOG_B-14
15;303,822;292,401;103,321;80,864;34,749;67,68;0;360,416;140,511;4;36;39,065;PARAMLOG_B-14
16;302,915;291,49;103,67;80,389;34,025;66,899;0;361,368;139,529;4;36;37,483;PARAMLOG_B-14
17;302,126;290,564;104,013;79,851;33,186;66,192;0;362,19;138,559;3;36;35,952;PARAMLOG_B-14
18;301,394;289,666;104,318;79,289;32,308;65,531;0;362,755;137,595;3;36;34,463;PARAMLOG_B-14
19;300,676;288,823;104,605;78,725;31,429;64,906;0;363,028;136,632;3;36;33,01;PARAMLOG_B-14
20;299,944;288,04;104,856;78,164;30,561;64,31;0;362,95;135,669;2;37;31,587;PARAMLOG_B-14
21;299,184;287,314;105,097;77,313;29,929;63,765;0;364,65;134,711;2;37;30,192;PARAMLOG_B-14
22;298,389;286,635;105,311;75,962;29,656;63,276;0;363,573;133,767;2;37;28,828;PARAMLOG_B-14
23;297,565;285,995;105,524;74,326;29,588;62,804;0;362,072;132,845;2;38;27,499;PARAMLOG_B-14
24;296,728;285,386;105,714;72,529;29,653;62,333;0;360,177;131,943;2;38;26,206;PARAMLOG_B-14
25;295,894;284,798;105,912;70,643;29,81;61,857;0;357,973;131,058;2;38;24,948;PARAMLOG_B-14
26;295,072;284,22;106,093;68,715;30,034;61,376;0;355,513;130,188;1;38;23,722;PARAMLOG_B-14
27;294,271;283,646;106,286;66,774;30,309;60,888;0;352,946;129,332;1;39;22,526;PARAMLOG_B-14
28;293,496;283,071;106,467;64,84;30,624;60,396;0;350,305;128,487;1;39;21,359;PARAMLOG_B-14
29;292,747;282,493;106,659;62,927;30,973;59,899;0;347,844;127,652;1;39;20,218;PARAMLOG_B-14
30;292,021;281,912;106,838;61,047;31,354;59,397;0;345,553;126,832;1;39;19,104;PARAMLOG_B-14
31;291,321;281,328;107,029;59,205;31,764;58,893;0;343,3;126,021;1;39;18,016;PARAMLOG_B-14
32;290,65;280,742;107,208;57,408;32,195;58,388;0;341,135;125,211;1;39;16,946;PARAMLOG_B-14
33;289,985;280,104;107,396;55,66;32,645;57,883;0;339,127;124,412;1;39;15,895;PARAMLOG_B-14
34;289,307;279,407;107,563;53,964;33,11;57,378;0;337,233;123,653;1;40;14,882;PARAMLOG_B-14
35;288,623;278,704;107,732;52,319;33,584;56,873;0;335,394;122,934;1;40;13,91;PARAMLOG_B-14
36;287,939;278,031;107,899;50,725;34,062;56,367;0;333,701;122,252;1;40;12,982;PARAMLOG_B-14
37;287,262;277,389;108,076;49,178;34,543;55,859;0;332,191;121,593;0;40;12,089;PARAMLOG_B-14
38;286,579;276,767;108,242;47,679;35,028;55,347;0;331,12;120,96;0;40;11,231;PARAMLOG_B-14
39;285,896;276,156;108,414;46,224;35,515;54,833;0;329,271;120,351;0;41;10,409;PARAMLOG_B-14
40;285,252;275,549;108,592;44,816;35,982;54,328;0;325,653;119,726;0;41;9,601;PARAMLOG_B-14
41;284,663;274,944;108,779;43,459;36,398;53,846;0;320,275;119,053;0;41;8,782;PARAMLOG_B-14
42;284,096;274,344;108,95;42,195;36,724;53,387;0;315,323;118,339;0;41;7,944;PARAMLOG_B-14
43;283,529;273,754;109,121;41,069;36,937;52,94;0;311,202;117,604;0;42;7,095;PARAMLOG_B-14
44;282,957;273,177;109,291;40,087;37,046;52,503;0;307,794;116,863;0;42;6,242;PARAMLOG_B-14
45;282,385;272,616;109,446;39,248;37,052;52,071;0;304,637;116,121;0;42;5,391;PARAMLOG_B-14
46;281,821;272,068;109,61;38,547;36,951;51,645;0;301,553;115,374;0;42;4,542;PARAMLOG_B-14
47;281,264;271,53;109,785;37,976;36,743;51,226;0;298,644;114,625;0;42;3,694;PARAMLOG_B-14
48;280,711;271;109,948;37,523;36,428;50,813;0;295,804;113,873;0;42;2,849;PARAMLOG_B-14
49;280,162;270,477;110,121;37,178;36,008;50,406;0;292,869;113,117;0;42;2,006;PARAMLOG_B-14
50;279,608;269,961;110,296;36,924;35,488;50,006;0;290,137;112,357;0;42;1,165;PARAMLOG_B-14
51;279,044;269,449;110,472;36,749;34,875;49,612;0;287,247;111,594;0;42;0,327;PARAMLOG_B-14
52;278,465;268,942;110,627;36,633;34,174;49,224;0;284,232;110,828;0;42;0;PARAMLOG_B-14
53;277,868;268,439;110,784;36,562;33,394;48,843;0;281,201;110,061;0;42;0;PARAMLOG_B-14
54;277,256;267,938;110,917;36,518;32,543;48,465;0;278,23;109,297;0;42;0;PARAMLOG_B-14
55;276,633;267,439;111,054;36,487;31,634;48,089;0;275,35;108,54;0;42;0;PARAMLOG_B-14
