Second;UHOLEG2;UCOLEG2;ZINST80;ZINST71;ZINST77;ZINST74;WFWLN2;WSTM2;ZINST58;KBCDO23;KBCDO15;ZINST63;LOG_ACIDENTE
0;326,213;290,856;101,288;89,613;51,058;63,836;443,226;459,456;155,283;99;15;54,981;PARAMLOG_B-12
1;326,547;290,794;101,933;89,493;50,862;64,356;429,375;457,874;151,319;99;13;53,501;PARAMLOG_B-12
2;326,739;290,756;102,011;89,171;50,323;64,589;0;135,721;147,658;97;11;52,165;PARAMLOG_B-12
3;326,484;290,846;101,724;87,108;45,938;69,567;0;96,888;145,074;88;11;51,091;PARAMLOG_B-12
4;325,857;291,305;101,188;85,101;41,714;72,121;0;148,098;142,866;64;11;50,312;PARAMLOG_B-12
5;324,655;292,188;100,557;83,581;38,602;73,45;0;194,792;139,205;42;13;49;PARAMLOG_B-12
6;322,561;293,281;99,917;82,558;36,583;74,034;0;240,187;134,519;28;15;47,236;PARAMLOG_B-12
7;319,686;294,312;99,284;81,885;35,319;74,219;0;261,367;129,399;19;17;45,184;PARAMLOG_B-12
8;316,429;295,1;98,706;81,4;34,46;74,138;0;279,12;124,412;14;18;43,071;PARAMLOG_B-12
9;313,232;295,554;98,163;81,006;33,797;73,757;0;292,674;119,825;10;18;41,03;PARAMLOG_B-12
10;310,397;295,608;97,62;80,658;33,239;73,1;0;302,391;115,728;8;17;39,123;PARAMLOG_B-12
11;308,056;295,234;97,131;80,344;32,754;72,224;0;308,764;112,119;7;16;37,372;PARAMLOG_B-12
12;306,201;294,549;96,729;80,064;32,346;71,205;0;312,462;108,981;6;15;35,789;PARAMLOG_B-12
13;304,783;293,672;96,444;79,819;32,015;70,121;0;314,091;106,188;5;13;34,338;PARAMLOG_B-12
14;303,673;292,69;96,263;79,605;31,755;69,034;0;314,345;103,651;4;12;32,98;PARAMLOG_B-12
15;302,733;291,658;96,172;79,414;31,548;67,987;0;313,738;101,309;4;11;31,693;PARAMLOG_B-12
16;301,856;290,619;96,147;79,232;31,365;67,002;0;312,536;99,124;3;11;30,46;PARAMLOG_B-12
17;300,968;289,603;96,161;79,046;31,178;66,087;0;311,191;97,078;3;10;29,274;PARAMLOG_B-12
18;300,031;288,627;96,191;78,842;30,96;65,236;0;309,536;95,162;3;10;28,134;PARAMLOG_B-12
19;299,039;287,697;96,225;78,609;30,688;64,439;0;307,594;93,373;3;10;27,04;PARAMLOG_B-12
20;297,999;286,81;96,259;78,343;30,35;63,685;0;305,396;91,705;2;9;25,993;PARAMLOG_B-12
21;296,929;285,96;96,291;78,042;29,944;62,963;0;302,976;90,155;2;9;24,993;PARAMLOG_B-12
22;295,85;285,139;96,326;77,708;29,472;62,264;0;300,397;88,715;2;9;24,04;PARAMLOG_B-12
23;294,778;284,34;96,368;77,345;28,942;61,584;0;297,674;87,378;2;9;23,133;PARAMLOG_B-12
24;293,726;283,558;96,419;76,959;28,363;60,92;0;294,866;86,136;2;9;22,268;PARAMLOG_B-12
25;292,702;282,789;96,48;76,553;27,747;60,27;0;292,028;84,98;1;9;21,442;PARAMLOG_B-12
26;291,709;282,031;96,545;76,133;27,101;59,633;0;289,157;83,903;1;9;20,654;PARAMLOG_B-12
27;290,747;281,284;96,61;75,702;26,433;59,01;0;286,315;82,897;1;9;19,9;PARAMLOG_B-12
28;289,816;280,546;96,673;75,263;25,749;58,401;0;283,472;81,954;1;9;19,176;PARAMLOG_B-12
29;288,913;279,819;96,732;74,819;25,053;57,806;0;280,677;81,07;1;9;18,481;PARAMLOG_B-12
30;288,035;279,104;96,786;74,37;24,349;57,226;0;277,915;80,237;1;9;17,813;PARAMLOG_B-12
31;287,18;278,401;96,838;73,919;23,638;56,66;0;275,217;79,452;1;9;17,168;PARAMLOG_B-12
32;286,345;277,711;96,886;73,465;22,923;56,108;0;272,556;78,71;1;9;16,545;PARAMLOG_B-12
33;285,527;277,032;96,931;73,01;22,204;55,569;0;269,945;78,006;1;10;15,944;PARAMLOG_B-12
