Second;UHOLEG2;UCOLEG2;ZINST80;ZINST71;ZINST77;ZINST74;WFWLN2;WSTM2;ZINST58;KBCDO23;KBCDO15;ZINST63;LOG_ACIDENTE
0;325,507;290,881;100,271;89,189;50,011;64,356;455,287;452,757;155,049;99;16;55,75;PARAMLOG_B-16
1;325,506;290,876;100,262;89,189;50,012;64,359;455,091;452,7;151,641;99;14;55,573;PARAMLOG_B-16
2;325,513;290,865;100,26;89,189;50,012;64,363;454,948;452,687;149,541;99;13;55,304;PARAMLOG_B-16
3;325,523;290,852;100,259;89,188;50,01;64,367;454,856;452,544;148,031;99;12;54,997;PARAMLOG_B-16
4;325,531;290,839;100,251;89,186;50,005;64,374;454,761;452,159;146,81;99;11;54,684;PARAMLOG_B-16
5;325,472;290,838;100,256;87,6;46,634;66,213;0;50,881;145,711;94;11;54,386;PARAMLOG_B-16
6;325,076;290,97;100,225;85,293;41,672;68,285;0;111,496;144,786;76;12;54,193;PARAMLOG_B-16
7;324,124;291,377;100,125;83,803;38,617;69,765;0;164,038;143,211;50;13;53,75;PARAMLOG_B-16
8;322,49;292,039;100,022;82,955;36,977;70,843;0;218,806;140,62;33;17;52,611;PARAMLOG_B-16
9;320,045;292,818;99,906;82,557;36,306;71,558;0;246,787;137,642;22;20;50,815;PARAMLOG_B-16
10;317,047;293,555;99,795;82,319;35,98;72,021;0;270,476;134,759;16;23;48,598;PARAMLOG_B-16
11;313,875;294,117;99,725;82,143;35,797;72,21;0;288,45;132,19;12;24;46,218;PARAMLOG_B-16
12;310,868;294,426;99,706;81,902;35,481;72,031;0;301,626;129,943;9;26;43,858;PARAMLOG_B-16
13;308,257;294,447;99,771;81,617;35,079;71,532;0;310,89;127,924;7;26;41,602;PARAMLOG_B-16
14;306,132;294,186;99,899;81,318;34,654;70,82;0;316,677;126,038;6;26;39,467;PARAMLOG_B-16
15;304,482;293,678;100,097;81,016;34,229;69,98;0;319,605;124,208;5;26;37,436;PARAMLOG_B-16
16;303,214;292,96;100,325;80,718;33,82;69,081;0;320,7;122,387;5;25;35,477;PARAMLOG_B-16
17;302,198;292,027;100,568;80,429;33,433;68,177;0;322,805;120,576;4;25;33,58;PARAMLOG_B-16
18;301,322;291,001;100,815;80,08;32,94;67,391;0;323,094;118,768;4;24;31,731;PARAMLOG_B-16
19;300,483;289,979;101,033;79,642;32,282;66,71;0;322,776;116,983;3;24;29,932;PARAMLOG_B-16
20;299,628;289,024;101,237;79,157;31,536;66,088;0;321,83;115,213;3;24;28,181;PARAMLOG_B-16
21;298,723;288,149;101,428;78,649;30,749;65,504;0;320,459;113,46;3;24;26,474;PARAMLOG_B-16
22;297,759;287,349;101,586;78,129;29,94;64,945;0;318,735;111,727;3;24;24,808;PARAMLOG_B-16
23;296,747;286,609;101,739;77,58;29,133;64,401;0;317,656;110,021;2;24;23,187;PARAMLOG_B-16
24;295,708;285,913;101,89;76,596;28,616;63,91;0;315,768;108,354;2;23;21,619;PARAMLOG_B-16
25;294,666;285,246;102,025;75,201;28,357;63,44;0;313,433;106,729;2;23;20,108;PARAMLOG_B-16
26;293,643;284,601;102,162;73,558;28,267;62,967;0;310,792;105,144;2;23;18,656;PARAMLOG_B-16
27;292,658;283,969;102,305;71,765;28,303;62,484;0;307,935;103,595;2;23;17,26;PARAMLOG_B-16
28;291,717;283,344;102,435;69,887;28,438;61,992;0;304,949;102,075;1;23;15,914;PARAMLOG_B-16
29;290,824;282,722;102,572;67,968;28,654;61,49;0;301,904;100,58;1;22;14,616;PARAMLOG_B-16
30;289,978;282,1;102,711;66,039;28,939;60,982;0;298,831;99,105;1;22;13,358;PARAMLOG_B-16
31;289,172;281,478;102,856;64,123;29,284;60,47;0;295,778;97,648;1;22;12,137;PARAMLOG_B-16
32;288,4;280,856;102,988;62,237;29,679;59,956;0;292,753;96,207;1;21;10,946;PARAMLOG_B-16
33;287,656;280,235;103,126;60,393;30,117;59,443;0;289,783;94,78;1;21;9,783;PARAMLOG_B-16
34;286,934;279,617;103,263;58,599;30,59;58,93;0;286,859;93,366;1;20;8,643;PARAMLOG_B-16
35;286,229;279,002;103,398;56,862;31,091;58,42;0;283,991;91,965;1;20;7,525;PARAMLOG_B-16
36;285,536;278,391;103,531;55,185;31,613;57,913;0;281,178;90,576;1;19;6,427;PARAMLOG_B-16
37;284,853;277,784;103,663;53,569;32,151;57,409;0;278,398;89,201;1;19;5,346;PARAMLOG_B-16
38;284,177;277,182;103,792;52,015;32,7;56,91;0;275,702;87,839;1;19;4,284;PARAMLOG_B-16
39;283,509;276,584;103,927;50,523;33,255;56,414;0;272,998;86,49;1;18;3,238;PARAMLOG_B-16
40;282,846;275,99;104,048;49,09;33,812;55,922;0;270,319;85,154;0;18;2,208;PARAMLOG_B-16
41;282,189;275,399;104,174;47,716;34,368;55,434;0;267,679;83,832;0;17;1,193;PARAMLOG_B-16
42;281,538;274,813;104,298;46,399;34,921;54,951;0;265,071;82,524;0;17;0,194;PARAMLOG_B-16
43;280,892;274,229;104,422;45,19;35,45;54,468;12;262,173;81,229;0;16;0;PARAMLOG_B-16
44;280,252;273,648;104,544;44,171;35,867;53,979;12;259,233;79,946;0;16;0;PARAMLOG_B-16
45;279,619;273,067;104,672;43,32;36,171;53,491;12;256,409;78,674;0;15;0;PARAMLOG_B-16
46;278,992;272,487;104,789;42,617;36,365;53,007;12;253,691;77,413;0;15;0;PARAMLOG_B-16
47;278,369;271,906;104,911;42,05;36,452;52,527;12;251,057;76,162;0;14;0;PARAMLOG_B-16
