Second;UHOLEG2;UCOLEG2;ZINST80;ZINST71;ZINST77;ZINST74;WFWLN2;WSTM2;ZINST58;KBCDO23;KBCDO15;ZINST63;LOG_ACIDENTE
0;325,516;290,881;100,381;89,205;50,051;64,33;455,233;456,411;158,826;99;17;55,825;PARAMLOG_B-18
1;325,518;290,879;100,382;89,216;50,079;64,311;455,233;456,367;158,812;99;17;55,821;PARAMLOG_B-18
2;325,519;290,873;100,384;89,222;50,095;64,295;455,459;456,306;158,791;99;17;55,813;PARAMLOG_B-18
3;325,518;290,865;100,387;89,224;50,103;64,281;455,78;456,229;158,764;99;17;55,803;PARAMLOG_B-18
4;325,516;290,856;100,39;89,224;50,107;64,269;456,122;456,158;158,733;99;17;55,791;PARAMLOG_B-18
5;325,514;290,846;100,393;89,223;50,107;64,259;456,452;456,08;158,701;99;17;55,778;PARAMLOG_B-18
6;325,511;290,836;100,395;89,221;50,105;64,249;456,742;456,005;158,667;99;17;55,765;PARAMLOG_B-18
7;325,509;290,826;100,397;89,218;50,101;64,241;456,987;455,945;158,634;99;17;55,751;PARAMLOG_B-18
8;325,505;290,817;100,399;89,216;50,098;64,233;457,184;455,874;158,602;99;17;55,738;PARAMLOG_B-18
9;325,502;290,809;100,401;89,213;50,094;64,226;457,342;455,807;158,57;100;17;55,726;PARAMLOG_B-18
10;325,499;290,801;100,402;89,211;50,09;64,219;457,456;455,747;158,541;100;17;55,714;PARAMLOG_B-18
11;325,496;290,793;100,404;89,208;50,086;64,213;457,537;455,679;158,513;100;17;55,702;PARAMLOG_B-18
12;325,493;290,786;100,405;89,206;50,082;64,207;457,584;455,622;158,487;100;17;55,692;PARAMLOG_B-18
13;325,49;290,779;100,407;89,204;50,078;64,202;457,604;455,561;158,462;100;17;55,682;PARAMLOG_B-18
14;325,488;290,773;100,408;89,202;50,075;64,196;457,594;455,509;158,44;100;17;55,673;PARAMLOG_B-18
15;325,486;290,767;100,409;89,2;50,071;64,191;457,564;455,453;158,419;100;17;55,664;PARAMLOG_B-18
16;325,484;290,761;100,41;89,198;50,068;64,187;457,511;455,41;158,4;100;17;55,657;PARAMLOG_B-18
17;325,483;290,756;100,411;89,197;50,065;64,182;457,443;455,369;158,382;100;17;55,65;PARAMLOG_B-18
18;325,481;290,751;100,412;89,195;50,062;64,178;457,36;455,329;158,366;100;17;55,643;PARAMLOG_B-18
19;325,48;290,747;100,413;89,193;50,059;64,175;457,262;455,29;158,351;100;17;55,637;PARAMLOG_B-18
20;325,479;290,742;100,413;89,191;50,056;64,171;457,154;455,242;158,337;100;17;55,631;PARAMLOG_B-18
21;325,479;290,738;100,414;89,189;50,053;64,168;457,04;455,218;158,324;100;17;55,626;PARAMLOG_B-18
22;325,478;290,735;100,415;89,188;50,05;64,165;456,921;455,19;158,313;100;17;55,622;PARAMLOG_B-18
23;325,478;290,731;100,415;89,186;50,047;64,163;456,796;455,165;158,302;100;17;55,618;PARAMLOG_B-18
24;325,477;290,728;100,416;89,183;50,043;64,161;456,667;455,137;158,292;100;17;55,614;PARAMLOG_B-18
25;325,474;290,726;100,416;89,181;50,039;64,159;456,541;455,123;158,279;100;17;55,609;PARAMLOG_B-18
26;325,471;290,723;100,417;89,179;50,035;64,157;456,42;455,105;158,266;100;17;55,604;PARAMLOG_B-18
27;325,468;290,721;100,418;89,176;50,031;64,155;456,303;455,088;158,254;100;17;55,599;PARAMLOG_B-18
28;325,466;290,719;100,418;89,173;50,027;64,153;456,197;455,076;158,243;100;17;55,595;PARAMLOG_B-18
29;325,464;290,717;100,418;89,171;50,022;64,151;456,099;455,062;158,234;100;17;55,591;PARAMLOG_B-18
30;325,463;290,714;100,419;89,168;50,018;64,15;456,005;455,046;158,226;100;17;55,588;PARAMLOG_B-18
31;325,462;290,712;100,419;89,164;50,012;64,148;455,917;455,031;158,219;100;17;55,585;PARAMLOG_B-18
32;325,462;290,71;100,419;89,161;50,007;64,147;455,83;455,022;158,213;100;17;55,583;PARAMLOG_B-18
33;325,461;290,709;100,42;89,158;50,002;64,146;455,745;455,009;158,206;100;17;55,581;PARAMLOG_B-18
34;325,459;290,707;100,42;89,155;49,996;64,145;455,664;455,009;158,198;100;17;55,577;PARAMLOG_B-18
35;325,456;290,706;100,42;89,151;49,991;64,144;455,59;454,996;158,189;100;17;55,574;PARAMLOG_B-18
36;325,454;290,704;100,421;89,147;49,985;64,143;455,524;454,99;158,18;100;17;55,571;PARAMLOG_B-18
37;325,452;290,703;100,421;89,144;49,979;64,142;455,472;454,985;158,173;100;17;55,568;PARAMLOG_B-18
38;325,45;290,702;100,421;89,14;49,973;64,141;455,425;454,989;158,166;100;17;55,565;PARAMLOG_B-18
39;325,449;290,7;100,422;89,136;49,966;64,14;455,393;454,968;158,161;100;17;55,563;PARAMLOG_B-18
40;325,449;290,699;100,422;89,132;49,96;64,139;455,364;454,969;158,157;100;17;55,562;PARAMLOG_B-18
41;325,448;290,698;100,422;89,128;49,953;64,138;455,335;454,971;158,153;100;17;55,56;PARAMLOG_B-18
42;325,448;290,697;100,422;89,124;49,947;64,137;455,313;454,955;158,15;100;17;55,559;PARAMLOG_B-18
43;325,448;290,696;100,422;89,12;49,94;64,137;455,291;454,953;158,146;100;17;55,558;PARAMLOG_B-18
44;325,447;290,695;100,423;89,116;49,934;64,136;455,277;454,951;158,141;100;17;55,556;PARAMLOG_B-18
45;325,445;290,694;100,423;89,112;49,927;64,136;455,266;454,954;158,134;100;17;55,554;PARAMLOG_B-18
46;325,442;290,693;100,423;89,108;49,92;64,135;455,269;454,951;158,127;100;17;55,551;PARAMLOG_B-18
47;325,44;290,692;100,423;89,104;49,913;64,134;455,279;454,951;158,122;100;17;55,549;PARAMLOG_B-18
48;325,439;290,691;100,423;89,1;49,907;64,133;455,298;454,952;158,116;100;17;55,547;PARAMLOG_B-18
49;325,438;290,691;100,424;89,096;49,9;64,133;455,319;454,937;158,112;100;17;55,546;PARAMLOG_B-18
50;325,437;290,69;100,424;89,091;49,893;64,132;455,348;454,943;158,109;100;17;55,544;PARAMLOG_B-18
51;325,437;290,689;100,424;89,087;49,887;64,131;455,379;454,928;158,106;100;17;55,543;PARAMLOG_B-18
52;325,437;290,688;100,424;89,084;49,88;64,13;455,407;454,928;158,103;100;17;55,542;PARAMLOG_B-18
53;325,437;290,687;100,424;89,08;49,874;64,129;455,439;454,929;158,101;100;17;55,542;PARAMLOG_B-18
54;325,438;290,686;100,425;89,076;49,868;64,128;455,472;454,915;158,099;100;17;55,541;PARAMLOG_B-18
55;325,438;290,685;100,425;89,072;49,861;64,128;455,507;454,911;158,097;100;17;55,54;PARAMLOG_B-18
56;325,439;290,684;100,425;89,068;49,855;64,127;455,542;454,915;158,096;100;17;55,54;PARAMLOG_B-18
57;325,439;290,683;100,425;89,065;49,849;64,127;455,578;454,903;158,094;100;17;55,54;PARAMLOG_B-18
58;325,439;290,683;100,425;89,061;49,843;64,126;455,617;454,903;158,092;100;17;55,539;PARAMLOG_B-18
59;325,437;290,682;100,425;89,058;49,838;64,125;455,652;454,902;158,088;100;17;55,538;PARAMLOG_B-18
60;325,435;290,682;100,425;89,054;49,832;64,125;455,698;454,905;158,082;100;17;55,536;PARAMLOG_B-18
61;325,433;290,681;100,426;89,051;49,826;64,124;455,752;454,894;158,076;100;17;55,534;PARAMLOG_B-18
62;325,432;290,681;100,426;89,047;49,821;64,123;455,813;454,893;158,072;100;17;55,532;PARAMLOG_B-18
63;325,43;290,68;100,426;89,044;49,815;64,122;455,879;454,884;158,068;100;17;55,53;PARAMLOG_B-18
64;325,43;290,679;100,426;89,041;49,81;64,121;455,948;454,88;158,064;100;17;55,529;PARAMLOG_B-18
65;325,429;290,678;100,426;89,038;49,805;64,12;456,015;454,87;158,061;100;17;55,528;PARAMLOG_B-18
66;325,43;290,677;100,426;89,035;49,8;64,119;456,08;454,876;158,058;100;17;55,527;PARAMLOG_B-18
67;325,43;290,676;100,427;89,032;49,796;64,118;456,141;454,864;158,055;100;17;55,526;PARAMLOG_B-18
68;325,43;290,675;100,427;89,03;49,792;64,117;456,198;454,86;158,053;100;17;55,525;PARAMLOG_B-18
69;325,43;290,674;100,427;89,027;49,788;64,116;456,253;454,841;158,05;100;17;55,524;PARAMLOG_B-18
70;325,43;290,673;100,427;89,025;49,784;64,115;456,31;454,841;158,048;100;17;55,524;PARAMLOG_B-18
71;325,431;290,672;100,428;89,023;49,78;64,114;456,36;454,839;158,046;100;17;55,523;PARAMLOG_B-18
72;325,431;290,671;100,428;89,021;49,776;64,113;456,415;454,824;158,044;100;17;55,523;PARAMLOG_B-18
73;325,432;290,67;100,428;89,019;49,773;64,112;456,466;454,824;158,043;100;17;55,522;PARAMLOG_B-18
74;325,432;290,67;100,428;89,017;49,769;64,111;456,516;454,813;158,042;100;17;55,522;PARAMLOG_B-18
75;325,433;290,669;100,428;89,015;49,766;64,11;456,564;454,794;158,04;100;17;55,521;PARAMLOG_B-18
76;325,434;290,668;100,428;89,013;49,763;64,11;456,614;454,799;158,039;100;17;55,521;PARAMLOG_B-18
77;325,434;290,668;100,428;89,011;49,761;64,109;456,661;454,799;158,039;100;17;55,521;PARAMLOG_B-18
78;325,435;290,667;100,429;89,01;49,758;64,108;456,702;454,785;158,038;100;17;55,521;PARAMLOG_B-18
79;325,435;290,666;100,428;89,008;49,756;64,108;456,75;454,779;158,038;100;17;55,521;PARAMLOG_B-18
80;325,436;290,666;100,429;89,007;49,753;64,107;456,797;454,768;158,038;100;17;55,521;PARAMLOG_B-18
81;325,437;290,665;100,429;89,006;49,751;64,106;456,841;454,773;158,037;100;17;55,521;PARAMLOG_B-18
82;325,438;290,665;100,429;89,004;49,749;64,106;456,889;454,765;158,037;100;17;55,522;PARAMLOG_B-18
83;325,439;290,665;100,429;89,003;49,747;64,105;456,932;454,764;158,038;100;17;55,522;PARAMLOG_B-18
84;325,438;290,664;100,429;89,002;49,745;64,105;456,976;454,752;158,036;100;17;55,522;PARAMLOG_B-18
85;325,437;290,664;100,429;89,001;49,744;64,104;457,021;454,757;158,032;100;17;55,52;PARAMLOG_B-18
86;325,435;290,664;100,429;89;49,742;64,104;457,069;454,753;158,027;100;17;55,519;PARAMLOG_B-18
87;325,433;290,663;100,429;89;49,741;64,103;457,121;454,751;158,023;100;17;55,517;PARAMLOG_B-18
88;325,432;290,663;100,429;88,999;49,74;64,102;457,181;454,75;158,019;100;17;55,515;PARAMLOG_B-18
89;325,431;290,662;100,43;88,998;49,739;64,101;457,248;454,745;158,015;100;17;55,514;PARAMLOG_B-18
90;325,431;290,661;100,43;88,998;49,738;64,1;457,31;454,732;158,012;100;17;55,513;PARAMLOG_B-18
91;325,431;290,66;100,43;88,997;49,737;64,099;457,372;454,722;158,01;100;17;55,512;PARAMLOG_B-18
92;325,431;290,659;100,43;88,997;49,737;64,098;457,426;454,726;158,007;100;17;55,511;PARAMLOG_B-18
93;325,431;290,658;100,431;88,997;49,737;64,097;457,477;454,711;158,004;100;17;55,51;PARAMLOG_B-18
94;325,432;290,657;100,431;88,997;49,737;64,096;457,527;454,702;158,002;100;17;55,51;PARAMLOG_B-18
95;325,432;290,656;100,431;88,997;49,737;64,095;457,57;454,695;158;100;17;55,509;PARAMLOG_B-18
96;325,432;290,655;100,431;88,998;49,737;64,094;457,616;454,686;157,999;100;17;55,509;PARAMLOG_B-18
97;325,433;290,654;100,431;88,998;49,738;64,093;457,653;454,678;157,997;100;17;55,508;PARAMLOG_B-18
98;325,433;290,654;100,431;88,998;49,738;64,092;457,692;454,664;157,995;100;17;55,508;PARAMLOG_B-18
